time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2018-12-24,271.6,268.8,274.2,0.0,0.0,255.0,3.7,,1024.7,
2018-12-25,275.9,272.0,281.4,0.3,0.0,202.0,2.5,,1026.1,
2018-12-26,276.6,271.4,282.0,0.0,0.0,125.0,2.4,,1029.6,
2018-12-27,280.8,277.5,285.3,16.5,0.0,154.0,7.5,,1011.5,
2018-12-28,276.3,270.9,285.3,0.5,0.0,247.0,8.0,,1010.3,
2018-12-29,271.3,268.8,272.5,0.5,0.0,267.0,3.6,,1025.1,
2018-12-30,271.1,266.4,275.9,0.0,0.0,211.0,5.3,,1019.4,
2018-12-31,276.0,273.8,278.1,21.8,0.0,97.0,4.2,,1008.8,
2019-01-01,272.4,270.3,275.3,0.0,0.0,342.0,3.9,,1024.5,
2019-01-02,271.8,270.3,273.1,0.3,0.0,232.0,4.2,,1021.5,
2019-01-03,273.1,269.2,278.1,0.0,0.0,223.0,5.1,,1017.1,
2019-01-04,276.8,273.1,283.1,0.0,0.0,246.0,3.8,,1009.1,
2019-01-05,278.1,272.5,284.8,0.0,0.0,262.0,3.6,,1011.8,
2019-01-06,277.2,275.9,278.8,0.0,0.0,73.0,5.6,,1022.5,
2019-01-07,281.2,278.1,285.9,8.6,0.0,194.0,8.0,,1008.0,
2019-01-08,277.6,269.8,281.4,0.0,0.0,274.0,6.8,,1010.9,
2019-01-09,267.0,264.8,269.8,0.0,0.0,310.0,6.9,,1025.4,
2019-01-10,266.6,263.8,269.2,0.0,0.0,329.0,2.6,,1031.1,
2019-01-11,270.9,267.5,272.5,0.0,0.0,181.0,2.6,,1029.1,
2019-01-12,272.2,272.0,273.1,5.3,76.0,93.0,5.2,,1027.7,
2019-01-13,271.9,270.3,273.1,0.5,76.0,41.0,5.6,,1029.4,
2019-01-14,269.4,267.0,270.9,0.0,76.0,272.0,4.1,,1028.4,
2019-01-15,270.8,269.2,273.8,0.0,76.0,249.0,5.8,,1022.4,
2019-01-16,273.2,271.4,274.8,0.0,51.0,14.0,4.1,,1024.0,
2019-01-17,273.2,271.4,275.3,0.0,25.0,9.0,2.6,,1019.8,
2019-01-18,272.4,271.4,273.1,0.5,25.0,10.0,4.7,,1021.4,
2019-01-19,269.8,263.8,271.4,8.6,127.0,39.0,9.2,,1017.9,
2019-01-20,262.1,259.2,265.3,1.3,152.0,335.0,6.4,,1027.3,
2019-01-21,261.6,259.8,263.8,0.0,152.0,145.0,4.1,,1034.5,
2019-01-22,269.2,262.5,275.3,3.0,127.0,175.0,4.8,,1021.1,
2019-01-23,271.0,267.0,274.8,5.3,102.0,312.0,4.2,,1008.8,
2019-01-24,263.8,257.0,268.1,0.0,102.0,263.0,5.7,,1014.4,
2019-01-25,256.5,252.5,259.2,0.8,127.0,268.0,5.1,,1025.1,
2019-01-26,258.5,252.5,262.5,2.0,178.0,263.0,3.2,,1021.5,
2019-01-27,258.2,254.2,262.0,0.0,152.0,266.0,3.5,,1020.9,
2019-01-28,266.9,260.3,274.8,11.4,229.0,229.0,6.9,,1005.9,
2019-01-29,257.1,250.3,261.4,0.0,203.0,269.0,7.8,,1016.5,
2019-01-30,246.6,243.1,250.3,0.0,203.0,270.0,7.6,,1027.4,
2019-01-31,250.0,244.2,256.4,1.3,229.0,232.0,3.2,,1032.5,
2019-02-01,262.2,256.4,267.0,0.5,203.0,142.0,2.6,,1028.1,
2019-02-02,272.6,263.8,278.1,0.0,152.0,203.0,4.7,,1018.9,
2019-02-03,279.2,276.4,282.5,0.0,0.0,203.0,4.7,,1011.4,
2019-02-04,280.2,272.0,283.8,0.8,0.0,229.0,5.2,,1008.3,
2019-02-05,272.2,270.3,274.2,6.6,0.0,44.0,4.8,,1019.1,
2019-02-06,274.8,273.8,276.4,2.0,0.0,14.0,3.3,,1014.2,
2019-02-07,273.4,261.4,280.9,12.7,0.0,294.0,6.0,,1009.7,
2019-02-08,260.8,258.1,263.8,0.0,0.0,275.0,8.6,,1033.6,
2019-02-09,264.2,259.2,269.8,0.0,0.0,106.0,2.9,,1044.9,
2019-02-10,269.8,268.1,271.4,1.5,25.0,125.0,3.0,,1029.4,
2019-02-11,272.1,271.4,273.1,5.1,0.0,67.0,5.5,,1020.3,
2019-02-12,272.1,267.0,273.8,7.4,25.0,258.0,6.5,,1004.4,
2019-02-13,266.8,262.5,272.0,0.0,25.0,247.0,7.3,,1014.5,
2019-02-14,277.3,272.0,280.9,0.0,0.0,208.0,5.1,,1003.8,
2019-02-15,266.0,261.4,273.8,0.0,0.0,288.0,6.3,,1013.9,
2019-02-16,268.6,265.3,272.0,0.0,0.0,14.0,4.3,,1020.1,
2019-02-17,270.3,269.2,271.4,3.3,51.0,77.0,5.1,,1013.4,
2019-02-18,270.0,267.5,272.5,2.3,102.0,359.0,3.4,,1027.2,
